lr,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_acc,elapsed,weight_path
0.001,1024,512,0.001,relu,0.5703703703703704,264.5,search_weights/model_lr0.001_h1024-512_wd0.001_relu.npz
0.001,1024,512,0.0,relu,0.5701234567901234,232.3,search_weights/model_lr0.001_h1024-512_wd0.0_relu.npz
0.05,2048,512,0.0005,relu,0.5669135802469136,0,search_weights/model_lr0.05_h2048-512_wd0.0005_relu.npz
0.001,1024,256,0.001,relu,0.5666666666666667,265.0,search_weights/model_lr0.001_h1024-256_wd0.001_relu.npz
0.001,2048,256,0.0,relu,0.5666666666666667,474.4,search_weights/model_lr0.001_h2048-256_wd0.0_relu.npz
0.001,512,1024,0.001,relu,0.5664197530864198,166.0,search_weights/model_lr0.001_h512-1024_wd0.001_relu.npz
0.001,512,512,0.0005,relu,0.565679012345679,155.8,search_weights/model_lr0.001_h512-512_wd0.0005_relu.npz
0.001,1024,256,0.0005,relu,0.5634567901234568,262.3,search_weights/model_lr0.001_h1024-256_wd0.0005_relu.npz
0.001,512,512,0.001,relu,0.562716049382716,153.2,search_weights/model_lr0.001_h512-512_wd0.001_relu.npz
0.001,512,512,0.0,relu,0.5619753086419753,138.8,search_weights/model_lr0.001_h512-512_wd0.0_relu.npz
0.001,1024,256,0.0,relu,0.5614814814814815,232.0,search_weights/model_lr0.001_h1024-256_wd0.0_relu.npz
0.001,512,256,0.0,relu,0.5580246913580247,136.2,search_weights/model_lr0.001_h512-256_wd0.0_relu.npz
0.001,512,256,0.001,relu,0.5538271604938272,148.8,search_weights/model_lr0.001_h512-256_wd0.001_relu.npz
0.001,512,256,0.0005,relu,0.551604938271605,150.1,search_weights/model_lr0.001_h512-256_wd0.0005_relu.npz
0.001,2048,1024,0.001,tanh,0.5254320987654321,614.6,search_weights/model_lr0.001_h2048-1024_wd0.001_tanh.npz
0.001,2048,1024,0.0005,tanh,0.5219753086419753,614.3,search_weights/model_lr0.001_h2048-1024_wd0.0005_tanh.npz
0.001,2048,256,0.0,tanh,0.5214814814814814,478.3,search_weights/model_lr0.001_h2048-256_wd0.0_tanh.npz
0.001,2048,512,0.0005,tanh,0.5204938271604939,578.8,search_weights/model_lr0.001_h2048-512_wd0.0005_tanh.npz
0.001,2048,256,0.0005,tanh,0.5195061728395062,565.3,search_weights/model_lr0.001_h2048-256_wd0.0005_tanh.npz
0.001,2048,512,0.0,tanh,0.5185185185185185,490.2,search_weights/model_lr0.001_h2048-512_wd0.0_tanh.npz
0.001,2048,512,0.001,tanh,0.5182716049382716,574.7,search_weights/model_lr0.001_h2048-512_wd0.001_tanh.npz
0.001,2048,1024,0.0,tanh,0.5182716049382716,509.8,search_weights/model_lr0.001_h2048-1024_wd0.0_tanh.npz
0.001,1024,1024,0.0,tanh,0.5160493827160494,252.3,search_weights/model_lr0.001_h1024-1024_wd0.0_tanh.npz
0.001,2048,256,0.001,tanh,0.5160493827160494,563.9,search_weights/model_lr0.001_h2048-256_wd0.001_tanh.npz
0.001,1024,256,0.0005,tanh,0.5158024691358025,266.7,search_weights/model_lr0.001_h1024-256_wd0.0005_tanh.npz
0.001,1024,512,0.0005,tanh,0.5155555555555555,268.9,search_weights/model_lr0.001_h1024-512_wd0.0005_tanh.npz
0.001,512,1024,0.0,tanh,0.5153086419753087,152.4,search_weights/model_lr0.001_h512-1024_wd0.0_tanh.npz
0.001,1024,256,0.001,tanh,0.5148148148148148,267.5,search_weights/model_lr0.001_h1024-256_wd0.001_tanh.npz
0.001,512,512,0.0005,tanh,0.5138271604938272,157.4,search_weights/model_lr0.001_h512-512_wd0.0005_tanh.npz
0.001,1024,512,0.0,tanh,0.5138271604938272,238.3,search_weights/model_lr0.001_h1024-512_wd0.0_tanh.npz
0.001,1024,1024,0.001,tanh,0.5133333333333333,284.7,search_weights/model_lr0.001_h1024-1024_wd0.001_tanh.npz
0.001,512,256,0.0,tanh,0.5128395061728395,138.8,search_weights/model_lr0.001_h512-256_wd0.0_tanh.npz
0.001,1024,1024,0.0005,tanh,0.5123456790123457,283.0,search_weights/model_lr0.001_h1024-1024_wd0.0005_tanh.npz
0.001,1024,512,0.001,tanh,0.5120987654320988,268.6,search_weights/model_lr0.001_h1024-512_wd0.001_tanh.npz
0.001,512,256,0.001,tanh,0.5118518518518519,151.4,search_weights/model_lr0.001_h512-256_wd0.001_tanh.npz
0.001,512,1024,0.001,tanh,0.5118518518518519,171.2,search_weights/model_lr0.001_h512-1024_wd0.001_tanh.npz
0.05,512,512,0.0005,relu,0.5098765432098765,0,search_weights/model_lr0.05_h512-512_wd0.0005_relu.npz
0.001,1024,256,0.0,tanh,0.5093827160493827,234.9,search_weights/model_lr0.001_h1024-256_wd0.0_tanh.npz
0.001,512,256,0.0005,tanh,0.5083950617283951,150.6,search_weights/model_lr0.001_h512-256_wd0.0005_tanh.npz
0.001,512,1024,0.0005,tanh,0.5081481481481481,168.2,search_weights/model_lr0.001_h512-1024_wd0.0005_tanh.npz
0.001,512,512,0.0,tanh,0.5069135802469136,142.2,search_weights/model_lr0.001_h512-512_wd0.0_tanh.npz
0.001,512,512,0.001,tanh,0.505432098765432,158.0,search_weights/model_lr0.001_h512-512_wd0.001_tanh.npz
0.05,512,512,0.001,relu,0.1111111111111111,0,search_weights/model_lr0.05_h512-512_wd0.001_relu.npz
0.05,512,1024,0.0,relu,0.1111111111111111,0,search_weights/model_lr0.05_h512-1024_wd0.0_relu.npz
0.05,512,1024,0.0005,relu,0.1111111111111111,0,search_weights/model_lr0.05_h512-1024_wd0.0005_relu.npz
0.05,512,1024,0.001,relu,0.1111111111111111,0,search_weights/model_lr0.05_h512-1024_wd0.001_relu.npz
